Customer ID,Transaction ID,Domestic/International,Account Balance Before,Transaction Amount,Account Balance After,Credit/Debit,Type of Transfer,Status,Sender Name,Receiver Name,Sender Address,Receiver Address,Sender Nationality,Receiver Nationality,Receiver BIC Number,Transaction Date & Time,Currency,Transaction Category,Merchant Name,Sender Bank,Receiver Bank,Transaction Mode,Fraud Flag,Anomaly Reason,Transaction Description,Device Used,Location,Transaction Risk Score,Sender Account Type,Receiver Account Type,Transaction Reversal Flag,Loyalty Points Earned/Used,Payment Gateway Used,Hedged Transaction Type,Hedged Cash Flow,Hedging Instrument at Fair Value,Hedge Percentage,Hedged Quantity
37101,b06cf492,Domestic,15768.19,3919.42,11848.77,Debit,DEBIT CARD,Success,Sender 72,Receiver 85,Address 5,Address 185,Japan,Japan,BIC7932,2023-02-15 00:00:00,CAD,Bills,Merchant 15,Bank 4,Bank 12,ATM Withdrawal,Yes,Hedging Instrument at Fair Value should be a whole number.,Payment for Bills,ATM,London,0.76,Savings,Current,No,261,PayPal,One or more selected contractual cash flows,Principal Only,16827.11,18.1,843
28428,1b4b11d1,Domestic,32091.66,9192.34,-2.0,Credit,DEBIT CARD,Success,Sender 34,Receiver 3,Address 49,Address 137,Japan,UK,BIC2908,2024-10-24 00:00:00,EUR,Bills,Merchant 17,Bank 4,Bank 15,Bank Transfer,Yes,Account balance after transaction cannot be negative.,Payment for Bills,Mobile,New York,1.0,Corporate,Savings,Yes,333,Stripe,One or more selected contractual cash flows,Other,543733.0,68.28,54
30135,3944d8a3,Domestic,34878.47,2549.7,32328.77,Debit,CASH,Failed,Sender 56,Receiver 33,Address 71,Address 129,Canada,Canada,BIC4788,2024-05-05 00:00:00,EUR,Investment,Merchant 12,Bank 2,Bank 13,POS,Yes,Hedging Instrument at Fair Value should be a whole number.,Payment for Investment,Desktop,New York,0.83,Current,Savings,No,8,PayPal,Last-of-Layer,Both,991217.53,60.73,425
38491,f10542c9,Domestic,8880.22,1110.39,9990.609999999999,Credit,CREDIT CARD,Failed,Sender 10,Receiver 37,Address 71,Address 138,India,Germany,BIC6547,2024-08-08 00:00:00,JPY,Travel,Merchant 32,Bank 8,Bank 15,Online,Yes,Hedge percentage cannot exceed 100%.,Payment for Travel,Mobile,Berlin,0.27,Corporate,Current,Yes,274,Google Pay,One or more selected contractual cash flows,Principal Only,783772.0,150.5,617
91687,19589a2b,International,9415.55,7941.17,1474.3799999999992,Debit,CHECK,Success,Sender 34,Receiver 7,Address 18,Address 183,India,Japan,BIC4067,2023-06-29 00:00:00,JPY,Food,Merchant 4,Bank 10,Bank 16,Online,Yes,Hedge percentage cannot exceed 100%.,Payment for Food,Mobile,London,0.15,Savings,Corporate,Yes,407,Google Pay,Not applicable,Both,267286.0,150.5,283
59505,0b4c4a3f,Domestic,6695.86,538.01,7233.87,Credit,WIRE TRANSFER,Failed,Sender 71,Receiver 74,Address 42,Address 104,USA,UK,BIC7953,2024-12-21 00:00:00,GBP,Food,Merchant 33,Bank 3,Bank 16,ATM Withdrawal,Yes,Hedged quantity must be a positive numeric value.,Payment for Food,ATM,New York,0.24,Savings,Current,No,185,Razorpay,Last-of-Layer,Principal Only,779597.0,91.77,-5
15564,f7729f71,Domestic,12895.27,187.28,12707.99,Debit,CREDIT CARD,Success,Sender 87,Receiver 50,Address 9,Address 184,USA,USA,BIC1100,2023-08-31 00:00:00,EUR,Food,Merchant 4,Bank 5,Bank 18,Online,Yes,Hedged quantity must be a positive numeric value.,Payment for Food,Mobile,Toronto,0.44,Savings,Current,Yes,61,PayPal,Last-of-Layer,Other,133331.0,78.45,-5
10244,a78c9afa,International,2164.81,2805.9,-51.0,Credit,DEBIT CARD,Success,Sender 69,Receiver 28,Address 77,Address 178,USA,Germany,BIC1752,2024-10-07 00:00:00,AUD,Shopping,Merchant 29,Bank 4,Bank 16,Online,Yes,Account balance after transaction cannot be negative.,Payment for Shopping,Desktop,Mumbai,0.94,Savings,Savings,Yes,121,PayPal,Last-of-Layer,Both,426074.0,32.89,802
96701,93e28640,International,19655.89,7795.17,27451.059999999998,Credit,CASH,Success,Sender 74,Receiver 72,Address 94,Address 137,India,UK,BIC2785,2024-11-28 00:00:00,EUR,Bills,Merchant 28,Bank 6,Bank 11,POS,Yes,Hedge percentage cannot exceed 100%.,Payment for Bills,ATM,Tokyo,0.43,Savings,Corporate,No,271,Razorpay,One or more selected contractual cash flows,Interest Only,343780.0,150.5,262
80270,2844f1e8,International,34330.71,5300.21,39630.92,Credit,CHECK,Success,Sender 99,Receiver 100,Address 67,Address 167,India,Germany,BIC4720,2024-11-16 00:00:00,GBP,Bills,Merchant 36,Bank 2,Bank 14,Bank Transfer,Yes,Hedge percentage cannot exceed 100%.,Payment for Bills,ATM,Toronto,0.53,Current,Corporate,No,279,PayPal,One or more selected contractual cash flows,Interest Only,919107.0,150.5,169
18442,c5185951,Domestic,15526.3,6181.31,21707.61,Credit,UPI,Success,Sender 52,Receiver 85,Address 58,Address 183,UK,UK,BIC4575,2023-02-22 00:00:00,INR,Food,Merchant 41,Bank 8,Bank 19,Bank Transfer,Yes,Hedge percentage cannot exceed 100%.,Payment for Food,Mobile,Tokyo,0.76,Current,Savings,No,336,Google Pay,Not applicable,Both,37465.0,150.5,851
52645,77419ba9,International,44935.83,98.99,-12.0,Credit,CASH,Success,Sender 52,Receiver 61,Address 4,Address 130,Japan,Canada,BIC2963,2023-12-13 00:00:00,AUD,Travel,Merchant 10,Bank 1,Bank 17,POS,Yes,Account balance after transaction cannot be negative.,Payment for Travel,Mobile,Toronto,0.2,Corporate,Current,No,499,Razorpay,Last-of-Layer,Both,28336.0,61.0,68
